,date,title,contents
52,2022/08/03,"예상보다 견고한 시장 흐름..미국 상승 속 비트코인,이더리움 시장 견인..대만...",카카오(035720) 카카오페이(377300)가 5% 이상 강세로 거래를 마감했다. 이어 LG에너지솔루션(373220)도 4% 이상 올랐고 네이버(035420) 카카오뱅크(323410)도 3% 이상 상승하며 거래를 마쳤다. 특히 2분기 역대 최대 실적을 낸...
53,2022/08/03,우리은행 “가계대출 우대금리 쉽게 확인하세요”,충족되지 않았다면 이를 채울 수 있는 상품이나 서비스에 가입할 수도 있다. 우리은행은 향후 매달 우대금리 현황을 카카오톡 알림으로 발송해 우리WON뱅킹에 접속하지 않고도 금리 변동내역을 확인할 수 있게 할 예정이다.
54,2022/08/03,"계양구, 제77주년 광복절 태극기 달기 운동 추진","구는 동 행정복지센터를 비롯해 관내 각급 학교에 태극기 달기 운동을 적극 홍보하고, 각 가정에서 자발적으로 태극기를 게양할 수 있도록 구 홈페이지와 블로그, 카카오톡 등을 통한 다양한 홍보를 실시할 계획이다...."
55,2022/08/03,계양구 민선 8기 구정 발전 위한 혁신정책 제안 공모전,"이번 공모전은 계양구 구민이면 누구나 참여할 수 있으며 카카오톡 채널 '계양혁신톡', 국민신문고, 이메일, 우편 등을 통해 접수할 수 있다. 접수된 제안은 실시 가능성, 창의성, 효과성, 계속성, 적용 범위 등 심사..."
56,2022/08/03,"[증권 리포트] SK證 ""카카오페이 점진적 수익 개선""...KB證 ""삼성전자, OLED가...","◆카카오페이, 3분기부터 점진적 수익성 개선 SK증권은 카카오페이가 올해 3분기부터 점진적인 수익성 개선이 이뤄질 것으로 예상. 최관순 SK증권 연구원은 3일 보고서에서 ""카카오페이는 2분기 실적 저점으로 3분기..."
57,2022/08/03,웹툰 ‘네가 보고 내가 느끼는’ 드라마화 결정,"‘네가 보고 내가 느끼는&gt;’ 현재 카카오페이지, 네이버시리즈, 리디북스, 레진코믹스 등 다수의 플랫폼에 서비스되고 있다. 2015년 완결 이후 꽤 시간이 흐른 이 작품이 지금에 이르러 드라마 계약이 이뤄진 점에 대해..."
58,2022/08/03,"키움 안우진, 마음가짐도 에이스 ""득점 지원 적어도 서운하지 않다""","역할에 최선을 다하겠다는 것, 바로 에이스의 마음가짐이다. ※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : 카카오톡 : @노컷뉴스"
59,2022/08/03,"포스코건설, ESG경영 관심도 '최상위권'…국내 도급 30대 건설사 분석",3일 데이터앤리서치는 뉴스·커뮤니티·카페·유튜브·트위터·인스타그램·페이스북·카카오스토리·지식인·기업/조직·정부/공공 등 12개 채널을 대상으로 30대 건설사에 대한 ESG경영 온라인 정보량(포스팅 수...
60,2022/08/04,"코스피, 외인 매수에 0.47% 상승 마감...2,470선 회복","카카오 7.5%·카카오뱅크 4.78%·카카오페이 14.95% 올라 코스피가 외국인 순매수 유입 지속에 따라 2,470선에 마감했다. 한국거래소에 따르면 4일 코스피는 전 거래일보다 11.66포인트(0.47%) 오른 2,473.11에 장을..."
61,2022/08/04,"[마감] 카카오, 2분기 최대실적에 '강세'...위메이드, '위믹스3.0' 출시 기대...","카카오(7.50%)는 연결 기준 올해 2분기 영업이익이 1710억원으로 5.2% 증가한 것으로 잠정 집계됐다고... 카카오뱅크(4.78%), 카카오페이(14.95%) 등 다른 카카오그룹주도 강세였다. 코스닥지수는 전 거래일보다 9...."
62,2022/08/04,"카카오뱅크 플랫폼 강화로 상반기 사상 최대실적, 윤호영 연임 청신호",윤호영 카카오뱅크 대표이사가 플랫폼 강화를 통해 상반기 최대 실적을 거뒀다. 윤 대표는 2023년 3월까지가 임기인데 하반기에도 호실적을 이어간다면 재연임에 힘이 실릴 것으로 보인다. 윤호영 카카오뱅크...
63,2022/08/04,[공연] 파포스 [대학로예술극장 소극장],"++ 인공지능 시아 시아는 2021년 카카오브레인의 초거대 AI 언어 모델 KoGPT를 기반으로 태어난 시를 쓰는 인공지능이다. 인터넷 백과사전, 뉴스 등을 읽으며 한국어를 공부하고, 약 1만 편의 시를 읽고서 작법을 배워 시를..."
64,2022/08/04,서울대 창업경진대회 ‘더비기닝 시즌 4’ 참가자 모집,"서울대 기술지주(주), 소풍벤처스, KT, 스마일게이트홀딩스, 카카오벤처스, 액트너랩, 어썸레이 등의 기업이 전담멘토단으로 참여하여 창업기업의 성장에 힘을 실어줄 수 있을 것으로 기대된다. 공모 분야의 제한은 없으..."
65,2022/08/04,[단독]'수사기밀 유출' 연루 檢 출신 쌍방울 임원 '긴급체포'(종합),"빠져나갈 대응책 마련에 분주하다는 얘기가 파다하다. ※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : 카카오톡 : @노컷뉴스"
66,2022/08/04,"중국→대만 미사일 5발, 엉뚱한 일본 수역에 낙하","대만의 동서남북 사방에 장거리포와 미사일을 쏟아 부었다. ※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : 카카오톡 : @노컷뉴스"
67,2022/08/04,'1위는 다르다' SSG 투타 저력 빛난 역전승…키움은 LG에 밀려 3위로,"피한 뒤 박찬혁을 범타로 처리해 연장 승부를 끝냈다. ※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : 카카오톡 : @노컷뉴스"
68,2022/08/04,"전능신교에 대한 경각심 커져…피해자들, ""가족 돌려달라""","[영상기자 정용현] [영상편집 서원익] ※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : 카카오톡 : @노컷뉴스"
69,2022/08/04,"카카오뱅크, 수신금리는 올리고 대출 금리는 내리고","카카오뱅크는 예·적금 기본 금리를 최대 0.80%포인트(p) 인상하고, 대출 금리도 최대 0.45%p 인하하기로 결정했다고 4일 밝혔다. 변경된 예·적금 금리는 5일 신규 가입부터 적용되며, 대출 금리는 5일 오전 6시 대출..."
70,2022/08/04,창원 전동킥보드·공유자전거 주차구역 ‘있으나 마나’,"상남동 분수광장과 시티세븐 앞에도 지정주차구역이 있지만 구역 밖에 전동킥보드, 카카오T바이크가 놓여있다. 4일 오후 창원시 성산구 시티세븐 인근에 개인형 이동장치 길거리 무단방치 방지를 위한 지정주차구역이..."
71,2022/08/04,상반기 협약임금 인상률…대구 4.4%·경북 3.9%,"2%), '동종업계 임금수준'(9.2%) 등의 순이었다. ※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : 카카오톡 : @노컷뉴스"
72,2022/08/04,[단독]'수사기밀 유출' 연루 檢 출신 쌍방울 임원 '긴급체포',"출신 쌍방울 임원 A씨를 4일 긴급체포한 것으로 확인됐다. ※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : 카카오톡 : @노컷뉴스"
73,2022/08/04,"[공매도 TOP 10 종목] 코스피, 카카오뱅크 공매도 1위…팬오션-현대두산인프라...",뉴시스 그래픽 코스피 시장에서 4일 공매도 거래량에서 1위를 차지한 것은 카카오뱅크로 나타났다. 한국거래소에 따르면 카카오뱅크의 4일 공매도 수량은 46만9071주로 나타났다. 카카오뱅크는 전날 3위에서...
74,2022/08/04,"케이뱅크, 업비트고객 이체한도 최대 98%축소","케이뱅크는 이날 입금한도 축소 예정을 공지하고 고객에게 카카오톡 메시지로 관련내용을 전달했다. 한도가 축소되는 대상은 케이뱅크 한도제한계좌를 보유한 고객이다. 케이뱅크는 ""이미 통장 한도를 푼 고객은 한도..."
